scenario_id,title,year_guess,relative_path,size_bytes,companion_ini_found,campaign_series,notes
219,"Khrushchevs War, Day 1 - Poseidons Play, 1957",1957,"Khrushchevs War, Day 1 - Poseidons Play, 1957.scen",82744,True,Khrushchev's War Campaign,
220,"Khrushchevs War, Day 1 - The Battle of Elefsina, 1957",1957,"Khrushchevs War, Day 1 - The Battle of Elefsina, 1957.scen",302826,True,Khrushchev's War Campaign,
221,"Khrushchevs War, Day 2 - Head 'Em off at the Sunda Strait, 1957",1957,"Khrushchevs War, Day 2 - Head 'Em off at the Sunda Strait, 1957.scen",96504,True,Khrushchev's War Campaign,
222,"Khrushchevs War, Day 3 - Duel Near Cape Verde, 1957",1957,"Khrushchevs War, Day 3 - Duel Near Cape Verde, 1957.scen",144816,True,Khrushchev's War Campaign,
223,"Khrushchevs War, Day 30 - South Dakota Says Goodbye, 1957",1957,"Khrushchevs War, Day 30 - South Dakota Says Goodbye, 1957.scen",130548,True,Khrushchev's War Campaign,
224,"Khrushchevs War, Day 4 - Birmingham Goes Hunting, 1957",1957,"Khrushchevs War, Day 4 - Birmingham Goes Hunting, 1957.scen",102786,True,Khrushchev's War Campaign,
225,"Kicking Down the Door, 2019",2019,"Kicking Down the Door, 2019.scen",1510414,True,Standalone Scenario,
226,"Kingdom Come, 2018",2018,"Kingdom Come, 2018.scen",2604784,True,Standalone Scenario,
227,"Kitty Comes to Kamchatka (The War That Never Was), 1989",1989,"Kitty Comes to Kamchatka (The War That Never Was), 1989.scen",546922,True,The War That Never Was Series,
228,"Kiwi Strike!, 1998",1998,"Kiwi Strike!, 1998.scen",20717,True,Standalone Scenario,
229,"Kolkata Thresher, 1982",1982,"Kolkata Thresher, 1982.scen",138986,True,Standalone Scenario,
230,"Korean Campaign (Operation Dragon Fire), 2018",2018,"Korean Campaign (Operation Dragon Fire), 2018.scen",10237026,True,Korean Scenarios,
231,"Korean Campaign, 2018",2018,"Korean Campaign, 2018.scen",3596134,True,Korean Scenarios,
232,"Korean Crisis, 1994",1994,"Korean Crisis, 1994.scen",905974,True,Korean Scenarios,
